alert_id,seconds_offset,timestamp,environment,service,severity,title,status,source,metric_name,metric_value,metric_unit,threshold,affected_users,error_rate_pct,pattern_key,is_duplicate_candidate,is_noise_candidate,correlation_id,incident_candidate_id,is_trigger
ALT-2026-06-10-0001,0,2026-06-10T10:00:00Z,MGM,redis-token-store,P4,Health check warning: redis-token-store response time 565ms,active,GuardDuty,health_latency,565,ms,warning,0,0.0,MGM:redis-token-store:health_latency,true,true,CORRMGMREDISTOKENSTORE,INC-CAND-RED-MGM-001,false
ALT-2026-06-10-0002,1,2026-06-10T10:00:01Z,GIB-UKGC,replication,P4,replication memory utilization at 89.8%,active,GuardDuty,memory_utilization,89.8,%,warning,0,0.0,GIB-UKGC:replication:memory_utilization,true,true,CORRGIBUKGCREPLICATION,INC-CAND-REP-GIB-002,false
ALT-2026-06-10-0003,1,2026-06-10T10:00:01Z,GIB-UKGC,game-service,P2,game-service 5xx rate above threshold: 6.5%,active,GuardDuty,5xx_rate,6.5,%,major,1500,3.36,GIB-UKGC:game-service:5xx_rate,false,false,CORRGIBUKGCGAMESERVICE,INC-CAND-GAM-GIB-003,false
ALT-2026-06-10-0004,1,2026-06-10T10:00:01Z,MIRAGE,wallet-service,P2,wallet-service sync delay exceeding SLA: 44.6s,active,PITER-Monitor,sync_delay,44.6,s,major,0,3.28,MIRAGE:wallet-service:sync_delay,false,false,CORRMIRAGEWALLETSERVICE,INC-CAND-WAL-MIR-004,false
ALT-2026-06-10-0005,3,2026-06-10T10:00:03Z,MGM,payments-service,P3,Connection pool pressure on payments-service: 81.3%,active,SyntheticCheck,connection_pool,81.3,%,degraded,1500,1.67,MGM:payments-service:connection_pool,false,false,CORRMGMPAYMENTSSERVICE,INC-CAND-PAY-MGM-005,false
ALT-2026-06-10-0006,3,2026-06-10T10:00:03Z,MGM,game-service,P3,Connection pool pressure on game-service: 85.9%,active,CloudWatch,connection_pool,85.9,%,degraded,1500,1.52,MGM:game-service:connection_pool,false,false,CORRMGMGAMESERVICE,INC-CAND-GAM-MGM-006,false
ALT-2026-06-10-0007,4,2026-06-10T10:00:04Z,MGM,auth-service,P2,auth-service circuit breaker tripped briefly,active,GuardDuty,circuit_breaker,1,event,major,50000,3.8,MGM:auth-service:circuit_breaker,true,false,CORRMGMAUTHSERVICE,INC-CAND-AUT-MGM-007,false
ALT-2026-06-10-0008,4,2026-06-10T10:00:04Z,MIRAGE,replication,P4,replication cache hit rate changed to 72.0%,active,CloudWatch,cache_hit_rate,72.0,%,warning,0,0.0,MIRAGE:replication:cache_hit_rate,true,true,CORRMIRAGEREPLICATION,INC-CAND-REP-MIR-008,false
ALT-2026-06-10-0009,4,2026-06-10T10:00:04Z,GIB-UKGC,auth-service,P3,Queue depth elevated on auth-service: 1955,active,CloudWatch,queue_depth,1955,messages,degraded,50000,1.04,GIB-UKGC:auth-service:queue_depth,false,false,CORRGIBUKGCAUTHSERVICE,INC-CAND-AUT-GIB-000,false
ALT-2026-06-10-0010,5,2026-06-10T10:00:05Z,NJ-DGE,payments-service,P4,payments-service memory utilization at 74.8%,active,Grafana,memory_utilization,74.8,%,warning,0,0.0,NJ-DGE:payments-service:memory_utilization,true,true,CORRNJDGEPAYMENTSSERVICE,INC-CAND-PAY-NJ--001,false
ALT-2026-06-10-0011,7,2026-06-10T10:00:07Z,MIRAGE,promotion-engine,P3,Replication lag on promotion-engine: 17.6s,active,CloudWatch,replication_lag,17.6,s,degraded,4500,1.39,MIRAGE:promotion-engine:replication_lag,true,false,CORRMIRAGEPROMOTIONENGIN,INC-CAND-PRO-MIR-002,false
ALT-2026-06-10-0012,9,2026-06-10T10:00:09Z,MIRAGE,wallet-service,P4,wallet-service disk usage at 73.2%,active,SyntheticCheck,disk_usage,73.2,%,warning,0,0.0,MIRAGE:wallet-service:disk_usage,true,true,CORRMIRAGEWALLETSERVICE,INC-CAND-WAL-MIR-003,false
ALT-2026-06-10-0013,10,2026-06-10T10:00:10Z,GIB-UKGC,payments-service,P4,payments-service cache hit rate changed to 66.4%,active,Grafana,cache_hit_rate,66.4,%,warning,0,0.0,GIB-UKGC:payments-service:cache_hit_rate,true,true,CORRGIBUKGCPAYMENTSSERVI,INC-CAND-PAY-GIB-004,false
ALT-2026-06-10-0014,12,2026-06-10T10:00:12Z,MIRAGE,replication,P2,replication sync delay exceeding SLA: 46.1s,active,Prometheus,sync_delay,46.1,s,major,0,2.09,MIRAGE:replication:sync_delay,false,false,CORRMIRAGEREPLICATION,INC-CAND-REP-MIR-005,false
ALT-2026-06-10-0015,12,2026-06-10T10:00:12Z,MIRAGE,promotion-engine,P4,Health check warning: promotion-engine response time 656ms,active,SyntheticCheck,health_latency,656,ms,warning,0,0.0,MIRAGE:promotion-engine:health_latency,true,true,CORRMIRAGEPROMOTIONENGIN,INC-CAND-PRO-MIR-006,false
ALT-2026-06-10-0016,12,2026-06-10T10:00:12Z,NJ-DGE,promotion-engine,P3,Queue depth elevated on promotion-engine: 1800,active,CloudWatch,queue_depth,1800,messages,degraded,0,1.87,NJ-DGE:promotion-engine:queue_depth,true,false,CORRNJDGEPROMOTIONENGINE,INC-CAND-PRO-NJ--007,false
ALT-2026-06-10-0017,13,2026-06-10T10:00:13Z,NJ-DGE,wallet-service,P4,wallet-service disk usage at 74.2%,active,SyntheticCheck,disk_usage,74.2,%,warning,0,0.0,NJ-DGE:wallet-service:disk_usage,true,true,CORRNJDGEWALLETSERVICE,INC-CAND-WAL-NJ--008,false
ALT-2026-06-10-0018,15,2026-06-10T10:00:15Z,MIRAGE,redis-token-store,P4,Health check warning: redis-token-store response time 807ms,active,Grafana,health_latency,807,ms,warning,0,0.0,MIRAGE:redis-token-store:health_latency,true,true,CORRMIRAGEREDISTOKENSTOR,INC-CAND-RED-MIR-000,false
ALT-2026-06-10-0019,16,2026-06-10T10:00:16Z,MIRAGE,redis-token-store,P4,TLS handshake duration elevated for redis-token-store: 210ms,active,Prometheus,tls_handshake,210,ms,warning,0,0.0,MIRAGE:redis-token-store:tls_handshake,true,true,CORRMIRAGEREDISTOKENSTOR,INC-CAND-RED-MIR-001,false
ALT-2026-06-10-0020,16,2026-06-10T10:00:16Z,MGM,replication,P4,replication cache hit rate changed to 79.4%,active,Grafana,cache_hit_rate,79.4,%,warning,0,0.0,MGM:replication:cache_hit_rate,true,true,CORRMGMREPLICATION,INC-CAND-REP-MGM-002,false
ALT-2026-06-10-0021,16,2026-06-10T10:00:16Z,MIRAGE,payments-service,P3,Failed login rate increased on payments-service: 1%,active,GuardDuty,failed_login_rate,1,%,degraded,4500,0.36,MIRAGE:payments-service:failed_login_rate,false,false,CORRMIRAGEPAYMENTSSERVIC,INC-CAND-PAY-MIR-003,false
ALT-2026-06-10-0022,18,2026-06-10T10:00:18Z,MIRAGE,auth-service,P3,Failed login rate increased on auth-service: 12.9%,active,Grafana,failed_login_rate,12.9,%,degraded,50000,0.36,MIRAGE:auth-service:failed_login_rate,false,false,CORRMIRAGEAUTHSERVICE,INC-CAND-AUT-MIR-004,false
ALT-2026-06-10-0023,19,2026-06-10T10:00:19Z,MIRAGE,wallet-service,P4,wallet-service disk usage at 85.6%,active,CloudWatch,disk_usage,85.6,%,warning,0,0.0,MIRAGE:wallet-service:disk_usage,true,true,CORRMIRAGEWALLETSERVICE,INC-CAND-WAL-MIR-005,false
ALT-2026-06-10-0024,20,2026-06-10T10:00:20Z,MIRAGE,payments-service,P4,Health check warning: payments-service response time 702ms,active,Grafana,health_latency,702,ms,warning,0,0.0,MIRAGE:payments-service:health_latency,true,true,CORRMIRAGEPAYMENTSSERVIC,INC-CAND-PAY-MIR-006,false
ALT-2026-06-10-0025,20,2026-06-10T10:00:20Z,MGM,redis-token-store,P2,redis-token-store 5xx rate above threshold: 4.3%,active,GuardDuty,5xx_rate,4.3,%,major,50000,0.52,MGM:redis-token-store:5xx_rate,true,false,CORRMGMREDISTOKENSTORE,INC-CAND-RED-MGM-007,false
ALT-2026-06-10-0026,21,2026-06-10T10:00:21Z,GIB-UKGC,bet-service,P4,bet-service disk usage at 73.6%,active,PITER-Monitor,disk_usage,73.6,%,warning,0,0.0,GIB-UKGC:bet-service:disk_usage,true,true,CORRGIBUKGCBETSERVICE,INC-CAND-BET-GIB-008,false
ALT-2026-06-10-0027,22,2026-06-10T10:00:22Z,GIB-UKGC,promotion-engine,P4,TLS handshake duration elevated for promotion-engine: 311ms,active,Grafana,tls_handshake,311,ms,warning,0,0.0,GIB-UKGC:promotion-engine:tls_handshake,true,true,CORRGIBUKGCPROMOTIONENGI,INC-CAND-PRO-GIB-000,false
ALT-2026-06-10-0028,22,2026-06-10T10:00:22Z,GIB-UKGC,auth-service,P3,Failed login rate increased on auth-service: 12.6%,active,GuardDuty,failed_login_rate,12.6,%,degraded,0,1.57,GIB-UKGC:auth-service:failed_login_rate,false,false,CORRGIBUKGCAUTHSERVICE,INC-CAND-AUT-GIB-001,false
ALT-2026-06-10-0029,23,2026-06-10T10:00:23Z,MIRAGE,redis-token-store,P3,Failed login rate increased on redis-token-store: 1%,active,GuardDuty,failed_login_rate,1,%,degraded,800,0.52,MIRAGE:redis-token-store:failed_login_rate,false,false,CORRMIRAGEREDISTOKENSTOR,INC-CAND-RED-MIR-002,false
ALT-2026-06-10-0030,24,2026-06-10T10:00:24Z,GIB-UKGC,wallet-service,P4,Health check warning: wallet-service response time 802ms,active,Grafana,health_latency,802,ms,warning,0,0.0,GIB-UKGC:wallet-service:health_latency,true,true,CORRGIBUKGCWALLETSERVICE,INC-CAND-WAL-GIB-003,false
ALT-2026-06-10-0031,25,2026-06-10T10:00:25Z,GIB-UKGC,replication,P4,replication cache hit rate changed to 78.8%,active,PITER-Monitor,cache_hit_rate,78.8,%,warning,0,0.0,GIB-UKGC:replication:cache_hit_rate,true,true,CORRGIBUKGCREPLICATION,INC-CAND-REP-GIB-004,false
ALT-2026-06-10-0032,25,2026-06-10T10:00:25Z,NJ-DGE,promotion-engine,P4,promotion-engine cache hit rate changed to 67.2%,active,Prometheus,cache_hit_rate,67.2,%,warning,0,0.0,NJ-DGE:promotion-engine:cache_hit_rate,false,true,CORRNJDGEPROMOTIONENGINE,INC-CAND-PRO-NJ--005,false
ALT-2026-06-10-0033,26,2026-06-10T10:00:26Z,MIRAGE,promotion-engine,P4,promotion-engine cache hit rate changed to 78.9%,active,Prometheus,cache_hit_rate,78.9,%,warning,0,0.0,MIRAGE:promotion-engine:cache_hit_rate,true,true,CORRMIRAGEPROMOTIONENGIN,INC-CAND-PRO-MIR-006,false
ALT-2026-06-10-0034,27,2026-06-10T10:00:27Z,MGM,wallet-service,P3,Connection pool pressure on wallet-service: 84.4%,active,SyntheticCheck,connection_pool,84.4,%,degraded,4500,1.55,MGM:wallet-service:connection_pool,false,false,CORRMGMWALLETSERVICE,INC-CAND-WAL-MGM-007,false
ALT-2026-06-10-0035,28,2026-06-10T10:00:28Z,NJ-DGE,replication,P4,replication cache hit rate changed to 67.8%,active,GuardDuty,cache_hit_rate,67.8,%,warning,0,0.0,NJ-DGE:replication:cache_hit_rate,true,true,CORRNJDGEREPLICATION,INC-CAND-REP-NJ--008,false
ALT-2026-06-10-0036,29,2026-06-10T10:00:29Z,GIB-UKGC,game-service,P3,Replication lag on game-service: 19.4s,active,Grafana,replication_lag,19.4,s,degraded,0,0.83,GIB-UKGC:game-service:replication_lag,false,false,CORRGIBUKGCGAMESERVICE,INC-CAND-GAM-GIB-000,false
ALT-2026-06-10-0037,29,2026-06-10T10:00:29Z,MIRAGE,promotion-engine,P3,Connection pool pressure on promotion-engine: 94.3%,active,Grafana,connection_pool,94.3,%,degraded,0,0.95,MIRAGE:promotion-engine:connection_pool,false,false,CORRMIRAGEPROMOTIONENGIN,INC-CAND-PRO-MIR-001,false
ALT-2026-06-10-0038,29,2026-06-10T10:00:29Z,MIRAGE,replication,P4,TLS handshake duration elevated for replication: 471ms,active,GuardDuty,tls_handshake,471,ms,warning,0,0.0,MIRAGE:replication:tls_handshake,true,true,CORRMIRAGEREPLICATION,INC-CAND-REP-MIR-002,false
ALT-2026-06-10-0039,29,2026-06-10T10:00:29Z,MGM,replication,P3,Connection pool pressure on replication: 84.9%,active,SyntheticCheck,connection_pool,84.9,%,degraded,1500,0.81,MGM:replication:connection_pool,true,false,CORRMGMREPLICATION,INC-CAND-REP-MGM-003,false
ALT-2026-06-10-0040,30,2026-06-10T10:00:30Z,NJ-DGE,auth-service,P4,auth-service disk usage at 83.3%,active,GuardDuty,disk_usage,83.3,%,warning,0,0.0,NJ-DGE:auth-service:disk_usage,true,true,CORRNJDGEAUTHSERVICE,INC-CAND-AUT-NJ--004,false
ALT-2026-06-10-0041,30,2026-06-10T10:00:30Z,GIB-UKGC,game-service,P2,Failed transaction rate on game-service: 1.4%,active,PITER-Monitor,transaction_failure,1.4,%,major,1500,1.05,GIB-UKGC:game-service:transaction_failure,false,false,CORRGIBUKGCGAMESERVICE,INC-CAND-GAM-GIB-005,false
ALT-2026-06-10-0042,31,2026-06-10T10:00:31Z,GIB-UKGC,bet-service,P4,TLS handshake duration elevated for bet-service: 349ms,active,SyntheticCheck,tls_handshake,349,ms,warning,0,0.0,GIB-UKGC:bet-service:tls_handshake,false,true,CORRGIBUKGCBETSERVICE,INC-CAND-BET-GIB-006,false
ALT-2026-06-10-0043,31,2026-06-10T10:00:31Z,GIB-UKGC,promotion-engine,P4,promotion-engine memory utilization at 84.3%,active,Grafana,memory_utilization,84.3,%,warning,0,0.0,GIB-UKGC:promotion-engine:memory_utilization,true,true,CORRGIBUKGCPROMOTIONENGI,INC-CAND-PRO-GIB-007,false
ALT-2026-06-10-0044,32,2026-06-10T10:00:32Z,MGM,bet-service,P4,bet-service cache hit rate changed to 66.1%,active,PITER-Monitor,cache_hit_rate,66.1,%,warning,0,0.0,MGM:bet-service:cache_hit_rate,true,true,CORRMGMBETSERVICE,INC-CAND-BET-MGM-008,false
ALT-2026-06-10-0045,32,2026-06-10T10:00:32Z,NJ-DGE,bet-service,P4,bet-service disk usage at 84.6%,active,GuardDuty,disk_usage,84.6,%,warning,0,0.0,NJ-DGE:bet-service:disk_usage,true,true,CORRNJDGEBETSERVICE,INC-CAND-BET-NJ--000,false
ALT-2026-06-10-0046,33,2026-06-10T10:00:33Z,NJ-DGE,redis-token-store,P4,TLS handshake duration elevated for redis-token-store: 394ms,active,Grafana,tls_handshake,394,ms,warning,0,0.0,NJ-DGE:redis-token-store:tls_handshake,false,true,CORRNJDGEREDISTOKENSTORE,INC-CAND-RED-NJ--001,false
ALT-2026-06-10-0047,34,2026-06-10T10:00:34Z,MGM,redis-token-store,P4,TLS handshake duration elevated for redis-token-store: 517ms,active,PITER-Monitor,tls_handshake,517,ms,warning,0,0.0,MGM:redis-token-store:tls_handshake,true,true,CORRMGMREDISTOKENSTORE,INC-CAND-RED-MGM-002,false
ALT-2026-06-10-0048,34,2026-06-10T10:00:34Z,NJ-DGE,payments-service,P3,Queue depth elevated on payments-service: 2252,active,CloudWatch,queue_depth,2252,messages,degraded,0,0.65,NJ-DGE:payments-service:queue_depth,false,false,CORRNJDGEPAYMENTSSERVICE,INC-CAND-PAY-NJ--003,false
ALT-2026-06-10-0049,35,2026-06-10T10:00:35Z,MIRAGE,redis-token-store,P4,Background job queue delay on redis-token-store: 45.6s,active,GuardDuty,background_job_delay,45.6,s,warning,0,0.0,MIRAGE:redis-token-store:background_job_delay,true,true,CORRMIRAGEREDISTOKENSTOR,INC-CAND-RED-MIR-004,false
ALT-2026-06-10-0050,35,2026-06-10T10:00:35Z,MIRAGE,game-service,P4,game-service memory utilization at 86.4%,active,GuardDuty,memory_utilization,86.4,%,warning,0,0.0,MIRAGE:game-service:memory_utilization,true,true,CORRMIRAGEGAMESERVICE,INC-CAND-GAM-MIR-005,false
ALT-2026-06-10-0051,35,2026-06-10T10:00:35Z,MIRAGE,payments-service,P4,payments-service memory utilization at 83.8%,active,SyntheticCheck,memory_utilization,83.8,%,warning,0,0.0,MIRAGE:payments-service:memory_utilization,true,true,CORRMIRAGEPAYMENTSSERVIC,INC-CAND-PAY-MIR-006,false
ALT-2026-06-10-0052,35,2026-06-10T10:00:35Z,GIB-UKGC,auth-service,P4,auth-service memory utilization at 77.0%,active,GuardDuty,memory_utilization,77.0,%,warning,0,0.0,GIB-UKGC:auth-service:memory_utilization,true,true,CORRGIBUKGCAUTHSERVICE,INC-CAND-AUT-GIB-007,false
ALT-2026-06-10-0053,36,2026-06-10T10:00:36Z,MIRAGE,game-service,P3,game-service latency p95 increased to 2.7s,active,GuardDuty,latency_p95,2.7,s,degraded,1500,1.84,MIRAGE:game-service:latency_p95,false,false,CORRMIRAGEGAMESERVICE,INC-CAND-GAM-MIR-008,false
