incident_id,title,service,environment,severity,start_time,end_time,symptoms,root_cause,resolution,mttr_minutes,affected_users,business_impact_usd,lessons_learned,related_runbook
INC-2025-11-04-GIB-BET-OUTAGE,bet-service 100% error rate after connection-pool saturation,bet-service,GIB-UKGC,P1,2025-11-04T19:12:00Z,2025-11-04T19:39:00Z,100% bet placement failures|nodes unresponsive|connection pool exhausted,Connection pool exhaustion caused by retry storm against wallet dependency,"Disabled retry fan-out, restarted bet-service pool, validated wallet latency, monitored bet placement success",27,29500,264600,Gate retries with circuit breaker and alert on pool saturation before node exhaustion,deployment_rollback.json
INC-2025-0001,bet-service resource saturation in GIB-UKGC,bet-service,GIB-UKGC,P4,2025-07-23T04:00:00Z,2025-07-23T04:12:00Z,cache hit rate drop|token validation failures,Dependency latency,Updated connection limits and restarted service,12,4500,58538,Update runbook with validation steps,deployment_rollback.json
INC-2025-0002,auth-service latency spike in MIRAGE,auth-service,MIRAGE,P2,2025-10-29T23:00:00Z,2025-10-30T00:12:00Z,queue depth elevated|timeouts,Provider throttling,Scaled workers and cleared queue,72,50000,36797,Add dashboard correlation panel,auth_service_login_failure.json
INC-2025-0003,auth-service resource saturation in NJ-DGE,auth-service,NJ-DGE,P3,2025-05-09T11:00:00Z,2025-05-09T12:09:00Z,5xx spike|latency p95 increase,Dependency latency,Disabled feature flag and monitored recovery,69,800,16478,Update runbook with validation steps,auth_service_login_failure.json
INC-2025-0004,replication resource saturation in NJ-DGE,replication,NJ-DGE,P2,2025-06-13T04:00:00Z,2025-06-13T05:14:00Z,cache hit rate drop|token validation failures,Insufficient retry backoff,Disabled feature flag and monitored recovery,74,0,10460,Update runbook with validation steps,database_connectivity.json
INC-2025-0005,wallet-service error-rate increase in MGM,wallet-service,MGM,P3,2025-07-28T17:00:00Z,2025-07-28T18:20:00Z,cache hit rate drop|token validation failures,Insufficient retry backoff,Updated connection limits and restarted service,80,12000,171268,Improve pre-deploy checks,deployment_rollback.json
INC-2025-0006,game-service resource saturation in MIRAGE,game-service,MIRAGE,P3,2025-08-29T22:00:00Z,2025-08-29T22:53:00Z,cache hit rate drop|token validation failures,Insufficient retry backoff,Rolled back deployment and verified health,53,28000,231219,Add earlier saturation alert,deployment_rollback.json
INC-2025-0007,promotion-engine resource saturation in NJ-DGE,promotion-engine,NJ-DGE,P3,2026-04-11T18:00:00Z,2026-04-11T19:30:00Z,queue depth elevated|timeouts,Dependency latency,Scaled workers and cleared queue,90,800,94954,Improve pre-deploy checks,deployment_rollback.json
INC-2025-0008,payments-service dependency timeout in MIRAGE,payments-service,MIRAGE,P3,2025-05-18T07:00:00Z,2025-05-18T08:09:00Z,cache hit rate drop|token validation failures,Dependency latency,Scaled workers and cleared queue,69,4500,5884,Add earlier saturation alert,deployment_rollback.json
INC-2025-0009,bet-service latency spike in NJ-DGE,bet-service,NJ-DGE,P3,2026-03-13T14:00:00Z,2026-03-13T15:13:00Z,queue depth elevated|timeouts,Bad deployment configuration,Scaled workers and cleared queue,73,1500,241813,Add earlier saturation alert,deployment_rollback.json
INC-2025-0010,redis-token-store dependency timeout in GIB-UKGC,redis-token-store,GIB-UKGC,P3,2026-04-08T04:00:00Z,2026-04-08T05:05:00Z,cache hit rate drop|token validation failures,Dependency latency,Scaled workers and cleared queue,65,4500,157506,Add earlier saturation alert,redis_token_store_degradation.json
INC-2025-0011,auth-service dependency timeout in MGM,auth-service,MGM,P3,2025-05-15T13:00:00Z,2025-05-15T13:51:00Z,5xx spike|latency p95 increase,Dependency latency,Disabled feature flag and monitored recovery,51,4500,34658,Improve pre-deploy checks,auth_service_login_failure.json
INC-2025-0012,bet-service error-rate increase in NJ-DGE,bet-service,NJ-DGE,P4,2026-03-05T15:00:00Z,2026-03-05T15:20:00Z,cache hit rate drop|token validation failures,Provider throttling,Rolled back deployment and verified health,20,32000,131944,Improve pre-deploy checks,deployment_rollback.json
